feature_id,mean_delta,paired_t,hit_rate_overall,hit_rate_A_numeric,hit_rate_B_geographic,hit_rate_C_category,hit_rate_D_historical,hit_rate_E_physical,subcat_coverage,verdict
73152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
85930,0.3648925721645355,3.068419421030042,0.8,1.0,1.0,0.5,0.5,1.0,3,partial
37706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
102152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
6158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
111283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
95218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
22580,0.0684814453125,1.1328863046253963,0.55,0.5,0.25,1.0,0.5,0.5,1,narrow_or_none
30224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
13408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
41601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
124364,0.0008178710704669356,0.07979695256694083,0.1,0.0,0.0,0.0,0.5,0.0,0,narrow_or_none
89771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
14983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
126082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
20759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
72120,-0.006329345516860485,-0.9999999058158903,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
28622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
76896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
40595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
39757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
68950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
86067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
130199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
21204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
90972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
81119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
52082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
25349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
78970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
73143,0.02105102501809597,1.4477127371473575,0.1,0.0,0.0,0.5,0.0,0.0,0,narrow_or_none
71024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
51250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
51300,-0.007250976748764515,-1.0000000587534543,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
23165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
115695,0.02156982384622097,1.2848852863606004,0.15,0.0,0.0,0.25,0.25,0.25,0,narrow_or_none
13585,0.007952881045639515,1.0000000502264381,0.05,0.0,0.25,0.0,0.0,0.0,0,narrow_or_none
101707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
124732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
123157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
60675,0.006561279296875,1.00000007805591,0.05,0.0,0.0,0.0,0.25,0.0,0,narrow_or_none
41006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
84417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
30744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
24860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
37242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
117830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
10514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
58048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,narrow_or_none
